,Player,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty
0,,,,,,,,,,,,,,,,,,,,,,,
1,DeAndre Levy,DET,27,LB,16,16,1,13,0,13,4,,,,,,2.5,155,121,34,16,4,1
2,Luke Kuechly*+,CAR,23,MLB,16,16,1,0,0,0,12,1,0,1,0,0,3.0,171,107,64,9,4,
3,Morgan Burnett,GNB,25,SS,15,15,1,32,0,32,4,1,0,2,0,0,1.5,143,105,38,4,3,
4,Lavonte David,TAM,24,LB,14,14,0,0,0,0,4,4,0,1,0,0,1.0,145,101,44,17,4,
5,Curtis Lofton,NOR,28,LB,16,16,0,0,0,0,1,1,0,1,0,0,,145,100,45,5,4,
6,C.J. Mosley*,BAL,22,LB,16,16,2,23,0,18,8,1,0,1,6,0,3.0,151,99,52,8,12,
7,D'Qwell Jackson*,IND,31,MLB,16,16,0,0,0,0,1,1,0,4,35,1,4.0,167,96,71,9,5,
8,Brandon Marshall,DEN,25,LB,14,13,1,0,0,0,9,2,0,0,0,0,2.0,119,95,24,11,3,
9,Jamie Collins,NWE,25,LB,15,15,2,0,0,0,3,4,1,2,3,0,4.0,138,91,47,8,10,
10,Eric Weddle*+,SDG,29,FS,16,16,1,17,0,17,8,2,0,0,0,0,,114,91,23,2,0,
11,Lawrence Timmons*,PIT,28,lb/RILB,16,16,0,0,0,0,1,,,,,,2.0,139,90,49,7,4,
12,K.J. Wright,SEA,25,LB/mlb,16,16,0,0,0,0,4,3,0,1,0,0,2.0,130,89,41,5,2,
13,Earl Thomas*+,SEA,25,FS/s,16,16,1,47,0,47,5,4,1,1,0,0,,122,88,34,1,0,
14,Barry Church,DAL,26,SS,16,16,2,49,0,45,6,2,0,1,-1,0,,109,87,22,2,0,
15,Michael Griffin,TEN,29,FS,16,16,2,12,0,12,5,,,,,,3.0,112,85,27,6,3,
16,Chris Borland,SFO,23,LB,14,8,2,12,0,12,4,0,0,1,0,0,1.0,107,84,23,12,1,
17,T.J. McDonald,STL,23,s/SS,16,16,1,20,0,20,6,0,0,1,3,0,2.0,105,84,21,8,2,
18,Alec Ogletree,STL,23,LB,16,16,2,44,0,44,12,4,0,0,0,0,,111,84,27,6,0,
19,Ron Parker,KAN,27,db/lcb/SS,16,15,1,10,0,10,12,1,0,0,0,0,1.0,94,84,10,2,1,
20,Paul Worrilow,ATL,24,LB,16,16,0,0,0,0,3,2,0,0,0,0,2.0,143,84,59,4,9,
21,Jelani Jenkins,MIA,22,LB,15,14,0,0,0,0,1,2,0,0,0,0,3.5,110,83,27,9,6,
22,Bobby Wagner*+,SEA,24,MLB,11,11,0,0,0,0,3,,,,,,2.0,135,83,52,10,6,
23,Rashad Johnson,ARI,28,db/FS/s,16,16,4,146,2,88,8,0,0,2,30,0,1.0,101,82,19,2,2,
24,Josh Mauga,KAN,27,LILB/mlb,16,16,0,0,0,0,3,,,,,,0.5,103,82,21,4,6,
25,James Laurinaitis,STL,28,MLB,16,16,0,0,0,0,2,0,0,2,17,0,3.5,109,81,28,4,6,
26,Daryl Smith,BAL,32,LB,16,16,1,0,0,0,8,5,0,1,39,0,1.0,144,81,63,3,3,
27,Charles Woodson,OAK,38,FS,16,16,4,35,0,30,8,0,0,1,0,0,1.0,111,81,30,4,1,
28,Kam Chancellor*,SEA,26,s/SS,14,14,1,52,0,52,6,1,0,0,0,0,,104,80,24,1,0,
29,Johnathan Cyprien,JAX,24,s/SS,15,15,0,0,0,0,3,,,,,,,114,80,34,5,0,
30,,,,,,,,,,,,,,,,,,,,,,,
31,Demario Davis,NYJ,25,LB,16,16,0,0,0,0,5,0,0,2,0,0,3.5,116,78,38,5,5,
32,Mike Adams*,IND,33,lb/SS,16,16,5,24,0,10,11,2,0,2,0,0,,106,77,29,1,1,
33,Miles Burris,OAK,26,MLB,16,16,0,0,0,0,1,,,,,,,110,77,33,4,1,
34,Thomas Davis,CAR,31,LB,15,15,0,0,0,0,3,2,0,1,33,0,2.5,117,77,40,8,4,
35,Jason McCourty,TEN,27,CB,16,16,3,0,0,0,11,2,0,1,62,1,,85,77,8,1,0,
36,Jameel McClain,NYG,29,lb/MLB,16,14,0,0,0,0,2,1,0,0,0,0,2.5,116,75,41,8,7,
37,Ryan Mundy,CHI,29,S/ss,16,16,4,52,1,45,6,0,0,1,0,0,1.0,103,75,28,1,1,
38,Ha Ha Clinton-Dix,GNB,22,FS/ss,16,10,1,9,0,9,6,0,0,1,0,0,1.0,105,74,31,1,2,
39,Jerrell Freeman,IND,28,LB,12,12,0,0,0,0,6,2,0,1,0,0,1.5,126,73,53,4,4,
40,David Harris,NYJ,30,MLB,16,16,0,0,0,0,3,2,0,0,0,0,5.5,124,72,52,6,6,
41,Tony Jefferson,ARI,22,SS,16,8,0,0,0,0,1,1,0,0,0,0,1.0,84,72,12,2,3,
42,Telvin Smith,JAX,23,LB,16,9,1,15,0,15,4,1,0,2,0,0,2.0,104,72,32,9,1,
43,Antoine Bethea*,SFO,30,SS,16,16,4,71,1,49,10,1,0,0,0,0,1.0,85,71,14,4,1,
44,Robert Blanton,MIN,25,s/SS,15,13,1,1,0,1,2,0,0,1,0,0,,105,71,34,0,0,
45,Keenan Robinson,WAS,25,MLB,13,13,1,0,0,0,3,0,0,1,0,0,1.5,104,71,33,6,9,
46,Antrel Rolle,NYG,32,SS,16,16,3,71,0,39,9,1,0,1,0,0,,87,71,16,1,1,
47,Harrison Smith,MIN,25,FS,16,16,5,150,1,81,9,1,0,0,0,0,3.0,92,71,21,7,5,
48,Reshad Jones,MIA,26,S,12,12,3,62,0,50,7,1,1,0,0,0,1.0,80,70,10,5,1,
49,Johnathan Joseph,HOU,30,RCB,16,16,2,85,1,60,11,2,0,2,73,0,,75,70,5,1,0,
50,Tahir Whitehead,DET,24,lb/MLB,16,15,2,2,0,2,5,,,,,,,91,70,21,4,2,
51,Deone Bucannon,ARI,22,db/s/ss,16,9,0,0,0,0,2,1,0,1,0,0,2.0,86,69,17,8,3,
52,J.J. Wilcox,DAL,23,FS,16,16,3,46,0,46,5,1,1,2,11,0,,81,69,12,0,1,
53,Ryan Clark,WAS,35,FS,16,15,1,8,0,8,3,0,1,2,0,0,0.5,101,68,33,3,1,
54,Donte Whitner*,CLE,29,SS,16,16,1,54,0,54,4,1,0,0,0,0,,105,68,37,3,0,
55,Dawan Landry,NYJ,32,S,16,14,0,0,0,0,1,,,,,,1.5,106,67,39,1,3,
56,Rolando McClain,DAL,25,MLB,13,12,2,0,0,0,3,1,0,0,0,0,1.0,87,67,20,9,3,
57,Sio Moore,OAK,24,LB,11,11,0,0,0,0,1,1,0,0,0,0,3.0,89,67,22,9,4,
58,Michael Wilhoite,SFO,28,LB,16,16,2,1,0,1,6,1,0,0,0,0,,87,67,20,4,3,
59,Nigel Bradham,BUF,25,LB,14,14,1,0,0,0,6,2,0,0,0,0,2.5,104,66,38,6,7,
60,Preston Brown,BUF,22,LB,16,14,1,0,0,0,2,0,0,1,30,0,,109,66,43,6,1,
61,,,,,,,,,,,,,,,,,,,,,,,
62,Anthony Hitchens,DAL,22,LB/mlb,16,11,1,8,0,8,4,,,,,,,84,66,18,3,2,
63,James Ihedigbo,DET,31,fs/s/SS,13,13,4,86,0,70,8,3,1,1,0,0,2.0,80,66,14,6,4,
64,Kemal Ishmael,ATL,23,S,16,10,4,37,1,23,6,1,0,1,18,0,,96,66,30,2,0,
65,Vincent Rey,CIN,27,LB/mlb,16,13,0,0,0,0,5,1,0,0,0,0,,133,66,67,1,1,
66,Corey Graham,BUF,29,lcb/rcb,16,9,2,75,0,45,16,0,0,1,0,0,,84,65,19,0,0,
67,Reggie Nelson,CIN,31,FS,16,16,4,30,0,31,13,0,0,1,6,0,1.5,99,65,34,5,3,
68,Bradley Roby,DEN,22,cb/lcb,16,2,2,0,0,0,13,2,0,2,3,0,1.0,67,65,2,5,1,
69,Greg Toler,IND,29,cb/LCB,15,15,2,47,1,47,10,1,0,0,0,0,1.0,75,65,10,2,0,
70,Tramon Williams,GNB,31,LCB,16,16,3,2,0,2,13,0,0,1,0,0,,77,65,12,0,1,
71,Larry Foote,ARI,34,LB,15,15,1,0,0,0,3,0,0,1,0,0,2.0,88,64,24,6,7,
72,E.J. Gaines,STL,22,cb/lb/LCB/rcb,15,15,2,0,0,0,14,0,0,1,0,0,,70,63,7,3,2,
73,Dashon Goldson,TAM,30,FS/s,14,14,0,0,0,0,1,0,0,1,2,0,,81,63,18,0,0,
74,Malcolm Jenkins,PHI,27,S,16,16,3,67,1,53,15,1,0,1,0,0,,79,63,16,3,0,
75,Patrick Chung,NWE,27,S,16,15,1,10,0,10,8,,,,,,,95,62,33,3,1,
76,Josh Evans,JAX,23,FS/ss,16,14,0,0,0,0,2,0,0,2,-2,0,,90,62,28,2,0,
77,Mychal Kendricks,PHI,24,LB,12,11,0,0,0,0,3,3,0,0,0,0,4.0,83,62,21,10,9,
78,Rodney McLeod,STL,24,FS/s,16,16,2,1,0,1,6,2,0,3,9,0,,72,62,10,3,0,
79,T.J. Ward*,DEN,28,SS,15,15,2,55,0,37,5,,,,,,2.0,76,62,14,6,5,
80,Dont'a Hightower,NWE,24,LB,12,12,0,0,0,0,2,1,0,0,0,0,6.0,105,61,44,9,13,
81,Danny Lansanah,TAM,29,LB/mlb,16,11,3,60,2,33,8,,,,,,1.5,81,61,20,8,2,
82,William Gay,PIT,29,db/lcb/nt/rcb,16,13,3,113,3,52,12,,,,,,,71,60,11,1,0,
83,Dwight Lowery,ATL,28,S,16,15,2,21,0,21,5,2,0,1,0,0,1.0,79,60,19,1,3,
84,Perry Riley,WAS,26,LB,14,14,0,0,0,0,4,1,0,0,0,0,2.0,94,60,34,8,3,
85,Marcus Gilchrist,SDG,26,SS,16,16,1,4,0,4,5,2,0,0,0,0,1.0,76,59,17,7,1,
86,Justin Houston*+,KAN,25,lb/LOLB,16,16,0,0,0,0,5,4,0,0,0,0,22.0,68,59,9,23,25,
87,Emmanuel Lamur,CIN,25,LB,14,13,2,6,0,5,7,,,,,,,97,59,38,3,2,
88,Khalil Mack,OAK,23,LB,16,16,0,0,0,0,3,1,0,0,0,0,4.0,75,59,16,16,12,
89,Devin McCourty,NWE,27,S,16,16,2,70,0,60,6,1,0,0,0,0,,78,59,19,0,1,
90,J.J. Watt*+,HOU,25,DE,16,16,1,80,1,80,10,4,0,5,59,1,20.5,78,59,19,29,51,1
91,Husain Abdullah,KAN,29,FS,16,16,1,39,1,39,8,,,,,,,71,58,13,2,5,
92,,,,,,,,,,,,,,,,,,,,,,,
93,Jonathan Bostic,CHI,23,LB,13,8,0,0,0,0,3,,,,,,,83,58,25,4,0,
94,Bashaud Breeland,WAS,22,cb/LCB/ss,16,15,2,0,0,0,14,2,0,0,0,0,,69,58,11,3,1,
95,Joe Haden*,CLE,25,LCB,15,15,3,0,0,0,20,1,0,2,34,0,,73,58,15,1,0,
96,Glover Quin*,DET,28,FS/ss,16,16,7,117,0,56,10,,,,,,,74,58,16,2,0,
97,Aqib Talib*,DEN,28,cb/LCB,15,15,4,62,2,33,16,1,0,0,0,0,1.0,67,58,9,3,1,
98,Bruce Carter,DAL,26,LB,13,8,5,72,1,35,8,,,,,,1.0,82,57,25,5,3,
99,Craig Robertson,CLE,26,lb/mlb,16,11,2,30,0,15,4,0,0,1,0,1,,99,57,42,6,3,
100,Alterraun Verner,TAM,26,CB,14,14,2,26,0,26,9,2,0,0,0,0,,75,57,18,7,0,
101,George Wilson,TEN,33,db/SS,16,10,1,0,0,0,4,,,,,,1.0,73,57,16,4,0,
102,Mark Barron,2TM,25,,16,9,0,0,0,0,4,0,1,1,8,0,3.0,72,56,16,4,4,
103,Chad Greenway,MIN,31,LB,12,12,0,0,0,0,2,1,0,0,0,0,1.0,93,56,37,4,5,
104,Orlando Scandrick,DAL,27,cb/RCB,14,14,2,2,0,2,9,2,0,0,0,0,1.0,63,56,7,2,1,
105,Cary Williams,PHI,30,CB,16,16,2,-1,0,0,9,,,,,,,60,56,4,2,0,
106,Anthony Barr,MIN,22,LB,12,12,0,0,0,0,3,2,0,3,27,1,4.0,70,55,15,6,7,
107,Janoris Jenkins,STL,26,RCB,14,13,2,124,2,99,5,2,0,0,0,0,,59,55,4,1,0,
108,Adam Jones+,CIN,31,db/lcb/rcb,16,3,3,23,0,12,11,0,1,1,0,0,,69,55,14,0,0,
109,Mike Mitchell,PIT,27,FS,16,16,0,0,0,0,3,2,0,0,0,0,,76,55,21,0,0,
110,Buster Skrine,CLE,25,RCB,16,16,4,34,0,30,18,,,,,,,67,55,12,0,0,
111,Jacquian Williams,NYG,26,LB,9,9,0,0,0,0,3,,,,,,,78,55,23,1,1,
112,Jasper Brinkley,MIN,29,MLB,16,11,,,,,,1,0,0,0,0,1.0,75,54,21,3,1,
113,Brandon Carr,DAL,28,cb/LCB,16,16,0,0,0,0,7,0,0,1,0,0,1.0,63,54,9,2,3,
114,Chris Harris*,DEN,25,cb/RCB,16,16,3,52,0,38,17,1,0,1,0,0,1.0,58,54,4,5,1,
115,A.J. Hawk,GNB,30,LB/mlb,16,13,0,0,0,0,2,,,,,,0.5,94,54,40,1,1,
116,Shareece Wright,SDG,27,RCB,14,14,0,0,0,0,9,,,,,,,60,54,6,2,0,
117,Bradley Fletcher,PHI,28,CB,15,15,1,34,1,34,22,1,0,1,0,0,,60,53,7,1,0,
118,Rob Ninkovich,NWE,30,DE,16,16,1,11,0,11,2,0,0,1,15,1,8.0,77,53,24,11,16,
119,Jason Pierre-Paul,NYG,25,DE,16,16,0,0,0,0,6,3,0,1,0,0,12.5,77,53,24,16,21,
120,Desmond Trufant,ATL,24,CB/s,16,16,3,19,0,19,16,0,0,1,15,0,,61,53,8,1,0,
121,Wesley Woodyard,TEN,28,LB,16,16,2,20,0,13,3,,,,,,2.5,94,53,41,6,6,
122,David Amerson,WAS,23,RCB,15,15,0,0,0,0,7,,,,,,,61,52,9,1,0,
123,,,,,,,,,,,,,,,,,,,,,,,
124,A.J. Bouye,HOU,23,cb/db/lcb,14,6,3,120,1,67,10,1,0,1,0,0,,59,52,7,1,0,
125,David Hawthorne,NOR,29,LB,12,12,1,10,0,10,3,,,,,,3.0,83,52,31,7,5,
126,Kendrick Lewis,HOU,26,FS,16,16,2,32,1,27,6,3,0,1,0,0,,84,52,32,4,1,
127,Clay Matthews*,GNB,28,lolb/mlb/rolb,16,16,1,40,0,40,9,2,0,0,0,0,11.0,71,52,19,16,22,
128,Richard Sherman*+,SEA,26,cb/LCB,16,16,4,81,0,53,8,1,0,0,0,0,,67,52,15,2,0,
129,D.J. Swearinger,HOU,23,SS,16,12,2,31,0,25,6,3,0,1,0,0,1.0,74,52,22,3,3,
130,Kenny Vaccaro,NOR,23,fs/SS,15,14,2,45,0,45,5,,,,,,1.0,75,52,23,1,2,
131,Nate Allen,PHI,27,S,15,15,4,45,0,40,5,1,0,3,25,0,1.0,62,51,11,1,1,
132,Ryan Kerrigan,WAS,26,LOLB,16,16,0,0,0,0,1,5,0,1,0,0,13.5,64,51,13,18,19,
133,Captain Munnerlyn,MIN,26,LCB,16,16,2,1,0,1,5,0,0,1,0,0,,61,51,10,2,0,
134,Terence Newman,CIN,36,LCB,13,13,1,3,0,3,14,,,,,,,75,51,24,0,0,
135,J.T. Thomas,JAX,26,lb/MLB,16,10,2,10,0,10,5,2,0,1,0,1,,85,51,34,2,0,
136,Avery Williamson,TEN,22,LB,16,12,0,0,0,0,4,0,0,2,43,0,3.0,79,51,28,7,6,
137,Vontae Davis*,IND,26,cb/RCB,15,15,4,72,0,42,18,2,0,1,-9,0,,58,50,8,0,1,
138,Kyle Fuller,CHI,22,CB/lcb/rcb,16,14,4,81,0,31,10,3,0,0,0,0,,64,50,14,3,0,
139,Gerald Hodges,MIN,23,lb,14,7,1,27,1,27,6,,,,,,0.5,65,50,15,2,2,
140,George Iloka,CIN,24,SS,16,16,3,58,0,28,10,,,,,,,79,50,29,2,2,
141,Koa Misi,MIA,27,LB,11,11,0,0,0,0,1,0,0,1,0,0,1.0,66,50,16,4,4,
142,Corey White,NOR,24,cb/rcb/ss,15,9,2,2,0,2,6,1,0,1,0,0,1.0,53,50,3,1,2,
143,Aaron Williams,BUF,24,,15,14,1,26,0,26,5,0,1,0,0,0,,75,50,25,2,0,
144,Perrish Cox,SFO,27,LCB/rcb,15,14,5,12,0,10,16,0,1,2,0,0,,53,49,4,0,0,
145,Louis Delmas,MIA,27,S,13,12,1,81,1,81,3,0,0,2,0,0,1.0,60,49,11,2,1,
146,Leon Hall,CIN,30,RCB,15,15,1,-3,0,-3,8,,,,,,,69,49,20,2,1,
147,Robert McClain,ATL,26,cb,16,6,2,5,0,5,5,,,,,,1.0,59,49,10,2,1,
148,Jerraud Powers,ARI,27,cb/DB,16,11,3,19,0,12,10,1,0,0,0,0,1.0,54,49,5,3,4,
149,Darius Slay,DET,23,CB/lcb,16,16,2,42,0,40,17,,,,,,,62,49,13,1,0,
150,Calais Campbell*,ARI,28,DE,14,14,1,23,0,23,3,1,0,0,0,0,7.0,62,48,14,16,11,
151,Fletcher Cox,PHI,24,DE,16,16,,,,,,1,0,3,21,1,4.0,61,48,13,8,7,
152,Brandon Flowers,SDG,28,LCB,14,14,3,44,0,27,10,0,1,0,0,0,,52,48,4,1,1,
153,Brent Grimes*,MIA,31,CB,16,16,5,80,1,32,12,1,0,0,0,0,,58,48,10,1,0,
154,,,,,,,,,,,,,,,,,,,,,,,
155,Micah Hyde,GNB,24,cb/fs,16,12,2,9,0,9,7,0,1,1,0,0,1.0,62,48,14,2,1,
156,Kareem Jackson,HOU,26,cb/LCB,13,13,3,97,0,65,9,,,,,,,57,48,9,4,1,
157,Von Miller*,DEN,25,LB,16,16,0,0,0,0,2,1,0,1,2,0,14.0,66,48,18,16,27,
158,Patrick Peterson*,ARI,24,LCB,16,16,3,30,1,30,7,,,,,,1.0,55,48,7,0,1,
159,Jimmy Wilson,MIA,28,cb/lb/S,14,13,1,31,0,31,2,,,,,,,59,48,11,0,1,
160,Blidi Wreh-Wilson,TEN,25,CB,11,11,1,34,0,34,10,,,,,,,57,48,9,0,0,
161,Joplo Bartu,ATL,24,LB,16,14,,,,,,0,0,2,0,0,1.0,83,47,36,2,1,
162,Connor Barwin*,PHI,28,LB,16,16,0,0,0,0,5,2,0,0,0,0,14.5,64,47,17,15,21,
163,Tarell Brown,OAK,29,RCB,14,14,0,0,0,0,4,,,,,,,55,47,8,0,0,
164,Karlos Dansby,CLE,33,MLB,12,12,1,0,0,0,2,,,,,,3.0,93,47,46,10,3,
165,Tamba Hali*,KAN,31,lb/ROLB,16,16,,,,,,3,0,1,0,0,6.0,59,47,12,7,11,
166,Christian Kirksey,CLE,22,LB,16,8,0,0,0,0,2,1,0,0,0,0,2.0,81,47,34,5,4,
167,Paul Posluszny,JAX,30,mlb,7,7,0,0,0,0,1,0,0,1,10,0,2.0,69,47,22,2,3,
168,Kavell Conner,SDG,27,lb,16,7,0,0,0,0,1,1,0,0,0,0,1.0,70,46,24,2,0,
169,Antonio Cromartie*,ARI,30,RCB,16,16,3,65,0,40,10,0,0,1,14,1,,52,46,6,3,0,
170,Sean Smith,KAN,27,RCB,16,16,1,34,0,34,16,,,,,,,49,46,3,0,0,
171,Ndamukong Suh*+,DET,27,DT,16,16,0,0,0,0,3,,,,,,8.5,54,46,8,21,20,
172,Sam Barrington,GNB,24,lb/mlb,14,7,0,0,0,0,1,,,,,,1.0,66,45,21,3,4,
173,Darius Butler,IND,28,cb/fs/lcb/rcb,14,4,0,0,0,0,7,3,0,1,7,0,,51,45,6,1,1,
174,Donald Butler,SDG,26,LB,14,13,0,0,0,0,2,0,0,3,0,0,1.0,73,45,28,5,1,
175,Jurrell Casey,TEN,25,DT,16,16,,,,,,,,,,,5.0,68,45,23,13,18,
176,Antoine Cason,2TM,28,,14,11,2,81,0,80,6,4,0,2,0,0,,59,45,14,0,0,
177,LaRon Landry,IND,30,fs,11,6,,,,,,,,,,,2.5,63,45,18,5,5,
178,Corey Liuget,SDG,24,de/DT,16,16,0,0,0,0,2,2,0,2,0,1,4.5,57,45,12,13,9,
179,Bennie Logan,PHI,25,NT,16,16,0,0,0,0,1,1,0,0,0,0,,57,45,12,8,1,
180,Rashean Mathis,DET,34,CB/rcb,16,16,1,41,1,41,9,2,0,0,0,0,,54,45,9,0,0,
181,Byron Maxwell,SEA,26,RCB,13,12,2,23,0,21,12,0,0,1,0,0,,50,45,5,0,0,
182,Leodis McKelvin,BUF,29,LCB,10,9,4,10,0,9,8,1,1,0,0,0,,48,45,3,0,0,
183,Rahim Moore,DEN,24,FS/ss,16,16,4,36,0,19,5,1,0,1,0,0,,51,45,6,0,0,
184,Troy Polamalu,PIT,33,fs/SS,12,12,0,0,0,0,1,1,0,1,13,0,,69,45,24,5,1,
185,,,,,,,,,,,,,,,,,,,,,,,
186,Rafael Bush,NOR,27,db/fs,10,7,0,0,0,0,2,,,,,,,55,44,11,2,0,
187,Darrelle Revis*+,NWE,29,LCB/rcb,16,16,2,0,0,0,14,1,0,1,0,0,,50,44,6,2,0,
188,Da'Norris Searcy,BUF,26,,15,13,3,70,0,32,4,1,0,1,0,0,0.5,65,44,21,1,3,
189,Lardarius Webb,BAL,29,LCB,13,11,1,0,0,0,8,,,,,,,55,44,11,0,0,
190,Kroy Biermann,ATL,29,DE/lb,16,15,0,0,0,0,2,1,0,0,0,0,4.5,77,43,34,8,9,
191,Derrick Morgan,TEN,25,LB,16,16,0,0,0,0,7,2,0,0,0,0,6.5,63,43,20,10,9,
192,D.J. Hayden,OAK,24,cb/lcb,10,8,1,-1,0,-1,10,,,,,,,47,42,5,1,0,
193,James-Michael Johnson,KAN,25,RILB,16,9,0,0,0,0,1,1,0,0,0,0,,51,42,9,4,0,
194,Demetrius McCray,JAX,23,LCB,16,12,0,0,0,0,3,,,,,,,49,42,7,1,0,
195,Sheldon Richardson*,NYJ,24,DT/t,16,16,0,0,0,0,1,1,0,1,0,0,8.0,66,42,24,11,21,1
196,Kyle Arrington,NWE,28,cb/db/rcb,14,4,0,0,0,0,4,2,0,1,9,1,1.0,49,41,8,1,0,
197,Johnthan Banks,TAM,25,CB,15,14,4,69,1,32,10,,,,,,,50,41,9,1,1,
198,Brian Cushing,HOU,27,lb/MLB,14,14,0,0,0,0,2,1,0,0,0,0,1.0,72,41,31,1,9,
199,Quintin Demps,NYG,29,FS,16,9,4,19,0,10,7,1,2,0,0,0,,57,41,16,1,0,
200,Carlos Dunlap,CIN,25,DE,16,16,0,0,0,0,5,2,0,1,0,0,8.0,68,41,27,16,28,
201,Roman Harper,CAR,32,rcb/SS,16,16,4,43,1,31,10,1,0,0,0,0,1.0,67,41,26,0,1,
202,Christian Jones,CHI,23,lb,16,5,0,0,0,0,1,0,0,1,2,0,2.0,69,41,28,3,3,
203,Jason Worilds,PIT,26,LOLB,16,16,1,30,0,30,2,1,0,2,0,0,7.5,62,41,21,10,22,
204,Trent Cole,PHI,32,LB,15,15,,,,,,3,0,0,0,0,6.5,52,40,12,8,10,
205,Mason Foster,TAM,25,MLB,10,10,0,0,0,0,2,,,,,,,62,40,22,2,1,
206,Bradley McDougald,TAM,24,ss,15,5,1,0,0,0,7,,,,,,,50,40,10,0,0,
207,Kevin Minter,ARI,24,lb,16,5,,,,,,,,,,,1.0,45,40,5,5,3,
208,Josh Norman,CAR,27,RCB,14,10,2,60,0,33,11,1,1,1,0,0,,54,40,14,0,0,
209,Brandian Ross,2TM,25,,14,10,2,7,0,7,6,1,0,0,0,0,,55,40,15,1,2,
210,Darian Stewart,BAL,26,FS,16,14,1,0,0,0,3,1,0,1,0,0,,56,40,16,1,1,
211,Darrin Walls,NYJ,26,CB/s,14,12,2,25,0,25,12,,,,,,,40,40,0,1,0,
212,Ezekiel Ansah,DET,25,DE,16,16,,,,,,3,0,0,0,0,7.5,51,39,12,13,26,
213,Dwayne Gratz,JAX,24,lcb/RCB,15,13,1,55,1,55,8,2,0,0,0,0,,55,39,16,1,0,
214,Everson Griffen,MIN,27,DE,16,16,0,0,0,0,3,1,0,0,0,0,12.0,56,39,17,14,24,
215,Mike Mohamed,HOU,26,lb,14,2,1,0,0,0,6,,,,,,,67,39,28,2,1,
216,,,,,,,,,,,,,,,,,,,,,,,
217,Sterling Moore,DAL,24,cb/db,16,7,0,0,0,0,12,1,0,2,17,0,,50,39,11,1,0,
218,Robert Quinn*,STL,24,DE,16,16,0,0,0,0,6,5,0,0,0,0,10.5,46,39,7,13,20,
219,Xavier Rhodes,MIN,24,RCB,16,16,1,0,0,0,18,,,,,,,48,39,9,5,0,
220,Coty Sensabaugh,TEN,26,cb,13,6,0,0,0,0,6,0,0,1,0,0,1.0,47,39,8,1,1,
221,Terrell Suggs,BAL,32,LB,16,16,0,0,0,0,1,0,0,1,0,0,12.0,69,39,30,16,20,1
222,Manti Te'o,SDG,23,lb,10,6,1,0,0,0,3,,,,,,1.0,61,39,22,3,1,
223,Duke Williams,BUF,24,rcb,16,4,1,34,0,34,3,1,0,2,3,0,,53,39,14,1,2,
224,Antwon Blake,PIT,24,lcb,16,1,1,0,0,0,6,1,0,1,0,0,,43,38,5,0,0,
225,Chris Culliver,SFO,26,RCB,14,14,4,61,0,29,14,1,0,1,35,1,,45,38,7,0,0,
226,Andrew Gachkar,SDG,26,lb,15,5,0,0,0,0,1,0,0,1,13,1,1.0,49,38,11,8,1,
